ID	genomic_species ID	subspecies	plot_subspecies	country	location	AbbrevMap	lat	long	lon.utm	lat.utm	sex	year	tissue	coverage	samtools.coverage	nuDNA coverage	nuDNA coverage st.dev	total_sites	homozygous_sites	proportion_heterozygous
EB185	E. barbatus	Atlantic	E. b. barbatus	Greenland	"Itt. (Scoresby Sound); Hjørnedal"	IT	70,54	-25,16	-907272.9	-1931731.8	F	2017	Muscle	10x	0.812784	0.812784	20251,00	14376809,00	14351420.68	0.001769045425
EB187	E. barbatus	Atlantic	E. b. barbatus	Greenland	Melville Bay	MB	75,75	-59,76	-1344136.7	-783659,00	F	2011	Muscle	10x	321341,00	321341,00	338999,00	165850809,00	165713548.8	0.0008282982464
EB102	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Barrow	BA	71,29	-156,79	-807855.1	1884345.1	M	2018	Muscle	5x	414421,00	909134,00	734648,00	840708084,00	839753171.4	0.001137134828
EB103	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Barrow	BA	71,29	-156,79	-807855.1	1884345.1	M	2019	Muscle	5x	407968,00	154821,00	964931,00	1018247435,00	1017020147,00	0.001206748493
EB105	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Barrow	BA	71,29	-156,79	-807855.1	1884345.1	F	2019	Muscle	5x	346501,00	770755,00	684487,00	747112084,00	746305059.4	0.001081360185
EB106	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Barrow	BA	71,29	-156,79	-807855.1	1884345.1	F	2019	Muscle	5x	344225,00	641363,00	628659,00	619265987,00	618604610.8	0.001069142018
EB107	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Barrow	BA	71,29	-156,79	-807855.1	1884345.1	U	2019	Muscle	5x	26204,00	26204,00	307288,00	108611073,00	108508126.9	0.0009487410214
EB108	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Barrow	BA	71,29	-156,79	-807855.1	1884345.1	F	2019	Muscle	5x	384552,00	996495,00	785608,00	886251094,00	885224808.6	0.001159349992
EB109	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Barrow	BA	71,29	-156,79	-807855.1	1884345.1	M	2019	Muscle	5x	330085,00	795088,00	726109,00	764238052,00	763370768.1	0.001136124099
EB110	E. barbatus	Pacific	E. b. nauticus	Alaska/USA	Barrow	BA	71,29	-156,79	-807855.1	1884345.1	M	2019	Muscle	5x	319924,00	319924,00	336893,00	170504132,00	170331419,00	0.001013981983
